Index,Gloss
0,ACCIDENT
1,ALARM
2,ALCOHOL
3,ALLOVERBODY
4,ALRIGHT
5,ARM1
6,ARM2
7,ARM3
8,ARREST1
9,ARREST2
10,ARREST3
11,BACK
12,BANDAGE
13,BANDAID1
14,BANDAID2
15,BLEED
16,BLOOD
17,BREATHE
18,BURN
19,CHEST
20,CHOKE
21,COCAINE
22,COLLAPSE
23,COUGH
24,CUT
25,DEATH
26,DIE
27,DIZZY
28,DOCTOR1
29,DOCTOR2
30,DRUG
31,EAR
32,EARTHQUAKE
33,EYES
34,FACE
35,FAINT
36,FINGER
37,FOOT
38,HANDS
39,HEAD
40,HEADACHE
41,HEART
42,HOSPITAL1
43,HOSPITAL2
44,HURRICANE
45,HURRY
46,HURT
47,ITCH
48,JAW
49,KNEES
50,LUNGS
51,MARIJUANA
52,MEDICINE
53,MOUTH
54,NECK
55,NOSE
56,NOSEBLEED
57,NURSE
58,PAIN
59,PASSOUT
60,PATIENT1
61,PATIENT2
62,PATIENT3
63,PHARMACIST
64,PILL
65,RESCUE
66,RIB
67,STAB
68,STETHOSCOPE1
69,STETHOSCOPE2
70,STETHOSCOPE3
71,STETHOSCOPE4
72,STITCH
73,SURGERY
74,SWEAT
75,TAKEPILL
76,THERMOMETER
77,VOMIT
78,WHEELCHAIR
79,WRIST
